source,token,owned,proposed,refs,english,bucket,kind
token,LAObjectConfigurationVanilla_h,1,AQLObjectConfigurationVanilla_h,2,0,A_convention,macro
token,LADefinitionsFXStrangleSolver_h,1,AQLDefinitionsFXStrangleSolver_h,2,0,A_convention,macro
token,LARiskConfigurationVolFXShiftVolFXVega_h,1,AQLRiskConfigurationVolFXShiftVolFXVega_h,2,0,A_convention,macro
token,LARiskConfigurationVolCreatorPtberg_h,1,AQLRiskConfigurationVolCreatorPtberg_h,2,0,A_convention,macro
token,LADataInstanceConfiguration_h,1,AQLDataInstanceConfiguration_h,2,0,A_convention,macro
token,LAScenarioConfigurationFX_h,1,AQLScenarioConfigurationFX_h,2,0,A_convention,macro
token,LACalibrateVolatilityManager_h,1,AQLCalibrateVolatilityManager_h,2,0,A_convention,macro
token,LARiskConfigurationYieldIRDelta_h,1,AQLRiskConfigurationYieldIRDelta_h,2,0,A_convention,macro
token,LACalibrationParametersHW_h,1,AQLCalibrationParametersHW_h,2,0,A_convention,macro
token,LARiskConfigurationFX_h,1,AQLRiskConfigurationFX_h,2,0,A_convention,macro
token,MDCSVFileLoader,0,,1,0,B_acronym,?
token,LAMathSingleCredit,0,,1,0,A_convention,?
token,LARiskConfigurationFXVOLShiftFXVega,0,,1,0,A_convention,?
token,LADefinitionsantCalibration,0,,1,0,A_convention,?
token,LARiskConfigurationFXShiftIRDelta,0,,1,0,A_convention,?
token,LAPriceAccruedIntFunc,0,,1,0,A_convention,?
both,LAFileUtils,1,AQLFileUtils,1,0,A_convention,file
token,MARKET,0,,1,1,B_acronym,?
token,LACalibrateModelvolaaFactor,0,,1,0,A_convention,?
token,LAPriceCDS,0,,1,0,A_convention,?
token,LAHazardRateCreator,0,,1,0,A_convention,?
token,LADefinitionsantFXStrangleSolver,0,,1,0,A_convention,?
token,MARKET_PARAM,0,,1,1,B_acronym,?
token,LARiskConfigurationFXShiftBasisDelta,0,,1,0,A_convention,?
both,LADefinitionsHazardRate,1,AQLDefinitionsHazardRate,1,0,A_convention,file
token,MACalibrationSZ,0,,1,0,A_convention,?
token,LADefinitionsantRisk,0,,1,0,A_convention,?
both,LACoreGridConfiguation,1,AQLCoreGridConfiguation,1,0,A_convention,file
both,LADefinitionsFXStrangleSolver,1,AQLDefinitionsFXStrangleSolver,1,0,A_convention,file
both,LAValuePrinter,1,AQLValuePrinter,1,0,A_convention,file
token,LAMathCreditEntitySetUp,0,,1,0,A_convention,?
file,LACoreGridExceptions,1,AQLCoreGridExceptions,0,0,A_convention,file
